Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,symmetric,0.9099999999999999,0.3852951364729313
75% Corpus,10,symmetric,symmetric,0.375588316209683
75% Corpus,10,asymmetric,0.01,0.3719316948801342
75% Corpus,10,asymmetric,0.31,0.3791665707147801
75% Corpus,10,asymmetric,0.61,0.39202557416118305
75% Corpus,10,asymmetric,0.9099999999999999,0.38408704235298186
75% Corpus,10,asymmetric,symmetric,0.375849082082776
75% Corpus,12,0.01,0.01,0.3725172424557513
75% Corpus,12,0.01,0.31,0.3814416655700001
75% Corpus,12,0.01,0.61,0.3776201319431971
75% Corpus,12,0.01,0.9099999999999999,0.3808506920514148
75% Corpus,12,0.01,symmetric,0.3799272328144749
75% Corpus,12,0.31,0.01,0.3401530894769999
75% Corpus,12,0.31,0.31,0.3385818376608354
75% Corpus,12,0.31,0.61,0.35143084542218067
75% Corpus,12,0.31,0.9099999999999999,0.3562721413053169
75% Corpus,12,0.31,symmetric,0.34631336985403066
75% Corpus,12,0.61,0.01,0.3456840942526646
75% Corpus,12,0.61,0.31,0.35444234675767605
75% Corpus,12,0.61,0.61,0.3563743797841865
75% Corpus,12,0.61,0.9099999999999999,0.37851617803633825
75% Corpus,12,0.61,symmetric,0.3347682218274779
75% Corpus,12,0.9099999999999999,0.01,0.35391315171452775
75% Corpus,12,0.9099999999999999,0.31,0.35903874852724926
75% Corpus,12,0.9099999999999999,0.61,0.3710060952027212
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.37237705404136073
75% Corpus,12,0.9099999999999999,symmetric,0.33810050520178286
75% Corpus,12,symmetric,0.01,0.3705310235182185
75% Corpus,12,symmetric,0.31,0.37504504360367635
75% Corpus,12,symmetric,0.61,0.3809425081919944
75% Corpus,12,symmetric,0.9099999999999999,0.38327412187986826
75% Corpus,12,symmetric,symmetric,0.37616666349480316
75% Corpus,12,asymmetric,0.01,0.37113162074414796
75% Corpus,12,asymmetric,0.31,0.37941186641764707
75% Corpus,12,asymmetric,0.61,0.37183536349505575
75% Corpus,12,asymmetric,0.9099999999999999,0.3830759806663971
75% Corpus,12,asymmetric,symmetric,0.37342162355356656
75% Corpus,14,0.01,0.01,0.37775432108667767
75% Corpus,14,0.01,0.31,0.3736384164234347
75% Corpus,14,0.01,0.61,0.3729354057278518
75% Corpus,14,0.01,0.9099999999999999,0.3777659130552937
75% Corpus,14,0.01,symmetric,0.3724766824350434
75% Corpus,14,0.31,0.01,0.316227287143562
75% Corpus,14,0.31,0.31,0.33162883266514165
75% Corpus,14,0.31,0.61,0.3325836715870011
75% Corpus,14,0.31,0.9099999999999999,0.3348281427992071
75% Corpus,14,0.31,symmetric,0.336697523094524
75% Corpus,14,0.61,0.01,0.3327412829830855
75% Corpus,14,0.61,0.31,0.3392859780585656
75% Corpus,14,0.61,0.61,0.33562070854282566
75% Corpus,14,0.61,0.9099999999999999,0.33351640049785913
75% Corpus,14,0.61,symmetric,0.3378014610339499
75% Corpus,14,0.9099999999999999,0.01,0.3555365147198185
75% Corpus,14,0.9099999999999999,0.31,0.34052470896741865
75% Corpus,14,0.9099999999999999,0.61,0.3394838744598263
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.3363148301239756
75% Corpus,14,0.9099999999999999,symmetric,0.33271125594666523
75% Corpus,14,symmetric,0.01,0.369726098814169
75% Corpus,14,symmetric,0.31,0.37746446580340576
75% Corpus,14,symmetric,0.61,0.3676850547316666
75% Corpus,14,symmetric,0.9099999999999999,0.36720200549829707
75% Corpus,14,symmetric,symmetric,0.37328262820097285
75% Corpus,14,asymmetric,0.01,0.35688752404314034
75% Corpus,14,asymmetric,0.31,0.36928786016676257
75% Corpus,14,asymmetric,0.61,0.3727083924747717
75% Corpus,14,asymmetric,0.9099999999999999,0.3791025862499672
75% Corpus,14,asymmetric,symmetric,0.3623771279144902
100% Corpus,4,0.01,0.01,0.3959578000544809
100% Corpus,4,0.01,0.31,0.3903876211638726
100% Corpus,4,0.01,0.61,0.3822674087894209
100% Corpus,4,0.01,0.9099999999999999,0.38280284437537915
100% Corpus,4,0.01,symmetric,0.38251497480254515
